Data,Gerdau preferenciais,Gerdau Metalúrgica preferenciais,Vale,Usiminas,CSN,ArcelorMittal Brasil
12/15/2016,9.310136795,6.282799244,19.88471031,3.441532135,8.498186111,
12/16/2016,8.87918663,6.134877682,19.54661179,3.373550892,8.334909439,
12/19/2016,8.570204735,5.91688633,18.34915733,3.297072649,7.845078945,
12/20/2016,8.635251999,5.831248283,18.72248459,3.339560986,7.681801319,
12/21/2016,8.765350342,5.994740486,18.65204239,3.433034182,7.642924309,
12/22/2016,8.39131546,5.761179447,17.87722015,3.365053415,7.464097977,
12/23/2016,8.375059128,5.706682205,17.74339104,3.356556177,7.736224174,
12/26/2016,8.635251999,5.823462009,18.30689621,3.399044037,7.899503708,
12/27/2016,8.927973747,6.064808846,18.21532822,3.484020233,8.342681885,
12/28/2016,8.757218361,5.979168892,18.79292107,3.458527327,8.412659645,
12/29/2016,8.781611443,6.150448322,18.08853531,3.484020233,8.435985565,
1/2/2017,8.814138412,5.971384525,17.65182114,3.467024565,8.443759918,
1/3/2017,9.066202164,6.212731361,18.4336834,3.645474911,8.879165649,
1/4/2017,8.960497856,6.173804283,18.1026268,3.866412878,8.793640137,
1/5/2017,9.594724655,6.524146557,18.79292107,3.908900738,9.096867561,
1/6/2017,9.537804604,6.531931877,18.29280853,3.798431158,8.770314217,
1/9/2017,9.545938492,6.516361713,18.66613197,3.823924541,8.90249157,
1/10/2017,9.741083145,6.524146557,20.10307121,3.840919733,9.096867561,
1/11/2017,10.24521542,6.882275105,20.51865768,3.764441013,9.213496208,
1/12/2017,10.40783691,7.045766354,21.1807785,3.85791564,9.625575066,
1/13/2017,10.61924553,7.162547112,21.82176399,3.866412878,9.501173973,
1/16/2017,10.73308182,7.271544456,22.41344643,4.061857224,9.602250099,
1/17/2017,10.56232834,7.20925951,21.53296661,4.01087141,9.485622406,
1/18/2017,10.25334644,7.014625072,22.61771584,3.934393406,9.267921448,
1/19/2017,9.838659286,6.672069073,22.16691208,3.891905069,9.112418175,
1/20/2017,9.936234474,6.687639713,22.610672,4.095848083,9.29901886,
1/23/2017,10.31839466,6.936770916,23.46297646,4.435752869,9.648901939,
1/24/2017,10.21269035,6.882275105,24.04056931,4.376269341,9.633350372,
1/26/2017,10.15577221,6.905629158,23.66724586,4.282795906,9.431199074,
1/27/2017,10.22082138,7.069123745,23.73768425,4.410260201,9.4078722,
1/30/2017,9.789872169,6.656499386,22.71632957,4.274298191,8.918041229,
1/31/2017,9.919971466,6.718780041,22.66702461,4.461245537,8.980240822,
2/1/2017,10.09885502,6.77327919,23.16713524,4.461245537,9.065768242,
2/2/2017,10.35091877,6.928987026,23.00512695,4.435752869,9.431199074,
2/3/2017,10.32652473,6.967912674,21.56114388,4.410260201,9.003566742,
2/6/2017,10.08259201,6.858917713,21.07512093,4.333780766,8.653688431,
2/7/2017,10.02567387,6.843347073,21.30051994,4.316785336,8.840291023,
2/8/2017,9.944361687,6.765493393,21.5470562,4.333780766,8.824739456,
2/9/2017,10.16390419,6.882275105,21.89220238,4.316785336,8.816964149,
2/10/2017,10.48101711,7.045766354,23.10374069,4.563215733,9.555599213,
2/13/2017,10.814394,7.279330254,25.22393227,4.622699738,9.781077385,
2/14/2017,10.68429565,7.232614517,24.23075485,4.631196976,9.656676292,
