"Date","Price","Open","High","Low","Vol.","Change %"
"02/04/2022","15.48","15.32","15.54","15.14","14.15M","0.74%"
"02/03/2022","15.37","15.85","15.96","15.27","20.58M","-2.59%"
"02/02/2022","15.78","15.74","15.91","15.58","13.51M","0.24%"
"02/01/2022","15.74","15.20","15.83","15.04","22.62M","3.88%"
"01/31/2022","15.15","15.14","15.38","14.90","20.07M","-0.25%"
"01/28/2022","15.19","15.65","15.78","15.00","22.54M","-1.54%"
"01/27/2022","15.43","15.70","15.78","15.23","21.14M","-0.49%"
"01/26/2022","15.50","15.49","15.85","14.96","35.74M","1.11%"
"01/25/2022","15.33","15.35","15.64","15.02","19.57M","-0.49%"
"01/24/2022","15.41","14.91","15.49","14.55","26.74M","2.40%"
"01/21/2022","15.05","15.59","15.69","14.96","21.14M","-4.28%"
"01/20/2022","15.72","15.97","16.10","15.67","13.82M","-1.07%"
"01/19/2022","15.89","16.03","16.23","15.78","19.21M","1.27%"
"01/18/2022","15.69","15.35","15.73","15.29","16.79M","1.91%"
"01/17/2022","15.40","15.46","15.55","15.13","10.54M","-1.34%"
"01/14/2022","15.61","15.42","15.74","15.31","12.86M","0.49%"
"01/13/2022","15.53","15.37","15.70","15.23","16.06M","-0.43%"
"01/12/2022","15.60","15.66","16.04","15.50","29.65M","0.80%"
"01/11/2022","15.47","15.12","15.50","15.00","40.81M","6.05%"
"01/10/2022","14.59","13.59","14.61","13.48","31.97M","4.77%"
"01/07/2022","13.93","13.33","13.94","13.23","18.60M","4.78%"
"01/06/2022","13.29","13.43","13.70","13.14","25.99M","0.14%"
"01/05/2022","13.27","14.12","14.16","13.24","25.37M","-5.79%"
"01/04/2022","14.09","14.34","14.37","13.91","17.99M","-0.80%"
"01/03/2022","14.20","14.48","14.92","14.18","15.35M","-1.25%"
"12/30/2021","14.38","14.21","14.52","14.12","12.80M","2.43%"
"12/29/2021","14.04","13.99","14.19","13.90","10.53M","0.34%"
"12/28/2021","13.99","14.24","14.24","13.83","13.20M","-1.93%"
"12/27/2021","14.27","13.97","14.33","13.96","10.50M","1.21%"
"12/23/2021","14.10","14.14","14.14","13.89","10.68M","-0.27%"
"12/22/2021","14.14","14.25","14.43","13.81","15.64M","-1.46%"
"12/21/2021","14.35","14.14","14.45","14.09","12.06M","3.07%"
"12/20/2021","13.92","14.44","14.48","13.81","19.97M","-5.60%"
"12/17/2021","14.74","14.83","14.96","14.57","13.96M","-1.33%"
"12/16/2021","14.94","14.84","15.08","14.54","21.53M","3.30%"
"12/15/2021","14.47","14.38","14.56","14.03","15.82M","0.85%"
"12/14/2021","14.34","14.54","14.79","14.13","17.60M","-0.52%"
"12/13/2021","14.42","14.50","14.82","14.27","16.27M","1.18%"
"12/10/2021","14.25","14.13","14.68","14.10","15.35M","1.81%"
"12/09/2021","14.00","13.87","14.03","13.51","14.50M","-0.73%"
"12/08/2021","14.10","14.10","14.36","13.87","12.41M","0.87%"
"12/07/2021","13.98","14.39","14.53","13.91","25.11M","0.95%"
"12/06/2021","13.85","13.61","13.89","13.26","20.38M","3.87%"
"12/03/2021","13.33","13.43","13.80","13.00","23.54M","-1.39%"
"12/02/2021","13.52","12.66","13.52","12.60","31.64M","7.45%"
"12/01/2021","12.58","13.08","13.44","12.51","22.82M","-1.18%"
"11/30/2021","12.73","12.77","13.24","12.44","29.58M","-0.80%"
"11/29/2021","12.84","12.65","12.98","12.52","29.75M","6.12%"
"11/26/2021","12.10","12.53","12.60","11.90","26.11M","-6.58%"
"11/25/2021","12.95","12.82","13.00","12.61","14.01M","1.10%"
"11/24/2021","12.81","12.52","13.14","12.41","33.81M","3.48%"
"11/23/2021","12.38","12.37","12.91","12.15","30.98M","4.76%"
"11/22/2021","11.81","11.86","12.07","11.56","30.12M","2.94%"
"11/19/2021","11.48","11.52","11.80","11.38","25.71M","1.41%"
"11/18/2021","11.32","11.80","11.90","11.21","27.99M","-5.70%"
"11/17/2021","12.00","12.46","12.64","11.92","18.26M","-2.29%"
"11/16/2021","12.28","12.75","12.75","11.96","18.76M","-2.89%"
"11/12/2021","12.65","12.49","13.17","12.49","24.35M","0.30%"
"11/11/2021","12.61","12.36","12.86","12.33","26.86M","6.24%"
"11/10/2021","11.87","11.70","12.07","11.63","21.05M","-0.71%"
"11/09/2021","11.95","11.66","12.17","11.53","21.04M","1.27%"
"11/08/2021","11.81","11.32","11.92","11.15","24.41M","4.56%"
"11/05/2021","11.29","11.71","11.77","11.10","22.55M","-2.03%"
"11/04/2021","11.52","11.52","11.95","11.46","18.75M","-0.57%"
"11/03/2021","11.59","12.10","12.19","11.54","34.96M","-5.57%"
